,0
0,1.0952E+11
1,1.09524E+11
2,1.0999E+11
3,1.10413E+11
4,1.10757E+11
5,1.11065E+11
6,1.11358E+11
7,1.11619E+11
8,1.11737E+11
9,1.11997E+11
10,1.12314E+11
11,1.12661E+11
12,1.13025E+11
13,1.134E+11
14,1.13783E+11
15,1.14175E+11
16,1.1457E+11
17,1.14969E+11
18,1.15421E+11
19,1.16263E+11
20,1.17161E+11
21,1.18072E+11
22,1.1899E+11
23,1.19914E+11
24,1.20844E+11
25,1.23427E+11
26,1.27721E+11
27,1.29972E+11
28,1.27598E+11
29,1.25154E+11
30,1.22657E+11
31,1.20105E+11
32,1.08952E+11
33,95356995200
34,86025372800
35,76468153600
36,68108870400
37,61810217600
38,55352633600
39,48723761600
40,41914587200
41,34915540800
42,31502483200
43,29262388800
44,26954901600
45,24575354400
46,22119196000
47,20405872000
48,19484763200
49,18531341600
50,17542846400
51,16535796800
52,16121790400
53,15694492000
54,15248799200
55,14882748800
56,14886738400
57,14891218400
58,14895939200
59,15018368800
60,15151238400
61,15294240800
62,15453842400
63,15624729600
64,15896004800
65,16207750400
66,16659726400
67,17235516800
68,18216448800
69,19896387200
70,22740980800
71,27970108800
72,35658584000
73,42336942400
